Folio,Origen,SKU,Descripcion,Cantidad,Stock Min
316,WEB,TE41326   ,LATA MEDIANA EUROTE MOON M PINK NIGHT                                                               ,1.0,0.0
316,WEB,TE41328   ,LATA MEDIANA EUROTE MOON M MIL Y UNA NOC                                                            ,3.0,0.0
316,WEB,TE41329   ,LATA MEDIANA EUROTE FRESH PILLOW                                                                    ,1.0,0.0
316,SAE,TE41357   ,LATA MEDIANA EUROTE SENCHA FEST                                                                     ,2.0,0.0
316,WEB,TE42001   ,BOLSA 100g EUROTE AMARETTO                                                                          ,1.0,15.0
316,SAE,TE42003   ,BOLSA 100g EUROTE ASSAM                                                                             ,3.0,10.0
316,SAE,TE42008   ,BOLSA 100g EUROTE BLANCO DURAZNO ORQUIDE                                                            ,3.0,6.0
316,SAE,TE42010   ,BOLSA 100g EUROTE BLANCO ANIVERSARIO                                                                ,1.0,10.0
316,SAE,TE42014   ,BOLSA 100g EUROTE BLUE EYES                                                                         ,9.0,20.0
316,WEB,TE42014   ,BOLSA 100g EUROTE BLUE EYES                                                                         ,1.0,20.0
316,SAE,TE42015   ,BOLSA 100g EUROTE BORA BORA                                                                         ,7.0,25.0
316,SAE,TE42018   ,BOLSA 100g EUROTE CERO ESTRESS                                                                      ,2.0,6.0
316,SAE,TE42020   ,BOLSA 100g EUROTE CHABACANO                                                                         ,2.0,20.0
316,WEB,TE42020   ,BOLSA 100g EUROTE CHABACANO                                                                         ,1.0,20.0
316,SAE,TE42025   ,BOLSA 100g EUROTE CHOCO MINT                                                                        ,1.0,6.0
316,SAE,TE42029   ,BOLSA 100g EUROTE DARJEELING                                                                        ,1.0,10.0
316,SAE,TE42031   ,BOLSA 100g EUROTE DATIL CITRUS                                                                      ,1.0,4.0
316,SAE,TE42035   ,BOLSA 100g EUROTE DURAZNO                                                                           ,1.0,15.0
316,WEB,TE42035   ,BOLSA 100g EUROTE DURAZNO                                                                           ,1.0,15.0
316,SAE,TE42037   ,BOLSA 100g EUROTE EARL GREY                                                                         ,4.0,6.0
316,SAE,TE42038   ,BOLSA 100g EUROTE ENGLISH BREAKFAST                                                                 ,10.0,10.0
316,WEB,TE42038   ,BOLSA 100g EUROTE ENGLISH BREAKFAST                                                                 ,1.0,10.0
316,SAE,TE42040   ,BOLSA 100g EUROTE FANTASIA TROPICAL                                                                 ,1.0,60.0
316,WEB,TE42040   ,BOLSA 100g EUROTE FANTASIA TROPICAL                                                                 ,1.0,60.0
316,SAE,TE42043   ,BOLSA 100g EUROTE FLORIDA FRUITS                                                                    ,7.0,15.0
316,SAE,TE42044   ,BOLSA 100g EUROTE FRESA KIWI                                                                        ,27.0,45.0
316,WEB,TE42044   ,BOLSA 100g EUROTE FRESA KIWI                                                                        ,1.0,45.0
316,SAE,TE42045   ,BOLSA 100g EUROTE FRUTA CARIBEÑA                                                                    ,17.0,30.0
316,WEB,TE42045   ,BOLSA 100g EUROTE FRUTA CARIBEÑA                                                                    ,1.0,30.0
316,SAE,TE42046   ,BOLSA 100g EUROTE FRUTA DE LA PASION                                                                ,3.0,4.0
316,SAE,TE42049   ,BOLSA 100g EUROTE GOJI BERRY                                                                        ,3.0,6.0
316,SAE,TE42058   ,BOLSA 100g EUROTE GYOKURO JAPAN                                                                     ,1.0,0.0
316,WEB,TE42058   ,BOLSA 100g EUROTE GYOKURO JAPAN                                                                     ,1.0,0.0
316,SAE,TE42064   ,BOLSA 100g EUROTE HURRICANE                                                                         ,1.0,6.0
316,SAE,TE42067   ,BOLSA 100g EUROTE JAZMIN                                                                            ,7.0,15.0
316,WEB,TE42067   ,BOLSA 100g EUROTE JAZMIN                                                                            ,1.0,15.0
316,SAE,TE42070   ,BOLSA 100g EUROTE JENGIBRE MANDARIN                                                                 ,21.0,10.0
316,WEB,TE42070   ,BOLSA 100g EUROTE JENGIBRE MANDARIN                                                                 ,1.0,10.0
316,SAE,TE42073   ,BOLSA 100g EUROTE MANGO TROPICAL                                                                    ,1.0,10.0
316,WEB,TE42074   ,BOLSA 100g EUROTE MANILA                                                                            ,1.0,4.0
316,SAE,TE42075   ,BOLSA 100g EUROTE MANZANA                                                                           ,10.0,30.0
316,SAE,TE42076   ,BOLSA 100g EUROTE MANZANA ARANDANO                                                                  ,15.0,60.0
316,SAE,TE42077   ,BOLSA 100g EUROTE MANZANILLA / LAVANDA                                                              ,6.0,15.0
316,WEB,TE42077   ,BOLSA 100g EUROTE MANZANILLA / LAVANDA                                                              ,1.0,15.0
316,SAE,TE42078   ,BOLSA 100g EUROTE MARACUYA                                                                          ,15.0,30.0
316,WEB,TE42078   ,BOLSA 100g EUROTE MARACUYA                                                                          ,1.0,30.0
316,SAE,TE42079   ,BOLSA 100g EUROTE MATCHA                                                                            ,17.0,15.0
316,SAE,TE42081   ,BOLSA 100g EUROTE MEDITACION                                                                        ,1.0,4.0
316,SAE,TE42082   ,BOLSA 100g EUROTE MENTA                                                                             ,9.0,30.0
316,WEB,TE42082   ,BOLSA 100g EUROTE MENTA                                                                             ,1.0,30.0
316,SAE,TE42084   ,BOLSA 100g EUROTE MORAS DE LA SELVA                                                                 ,45.0,70.0
316,WEB,TE42084   ,BOLSA 100g EUROTE MORAS DE LA SELVA                                                                 ,2.0,70.0
316,SAE,TE42085   ,BOLSA 100g EUROTE MOSCU                                                                             ,3.0,20.0
316,SAE,TE42086   ,BOLSA 100g EUROTE MUMBAI                                                                            ,4.0,15.0
316,SAE,TE42087   ,BOLSA 100g EUROTE OMAS GARDEN                                                                       ,7.0,45.0
316,WEB,TE42087   ,BOLSA 100g EUROTE OMAS GARDEN                                                                       ,1.0,45.0
316,SAE,TE42089   ,BOLSA 100g EUROTE ORIENTAL SPICE                                                                    ,18.0,20.0
316,WEB,TE42092   ,BOLSA 100g EUROTE PAI MU TAN TORONJA                                                                ,1.0,4.0
316,SAE,TE42093   ,BOLSA 100g EUROTE PAPANTLA                                                                          ,7.0,12.0
316,WEB,TE42093   ,BOLSA 100g EUROTE PAPANTLA                                                                          ,1.0,12.0
316,SAE,TE42095   ,BOLSA 100g EUROTE PONCHE DE GUAYABA                                                                 ,68.0,25.0
316,WEB,TE42095   ,BOLSA 100g EUROTE PONCHE DE GUAYABA                                                                 ,1.0,25.0
316,SAE,TE42098   ,BOLSA 100g EUROTE PASSION ORANGE                                                                    ,4.0,10.0
316,SAE,TE42101   ,BOLSA 100g EUROTE PU ERH CITRUS                                                                     ,1.0,6.0
316,SAE,TE42104   ,BOLSA 100g EUROTE PU ERH FRUTOS ROJOS                                                               ,18.0,15.0
316,SAE,TE42110   ,BOLSA 100g EUROTE PU ERH NEPAL                                                                      ,1.0,25.0
316,WEB,TE42111   ,BOLSA 100g EUROTE PU ERH TROPIC                                                                     ,1.0,30.0
316,SAE,TE42113   ,BOLSA 100g EUROTE RASPBERRY DREAM                                                                   ,5.0,15.0
316,SAE,TE42114   ,BOLSA 100g EUROTE RELAX                                                                             ,12.0,50.0
316,SAE,TE42115   ,BOLSA 100g EUROTE ROOIBOS                                                                           ,4.0,15.0
316,WEB,TE42115   ,BOLSA 100g EUROTE ROOIBOS                                                                           ,1.0,15.0
316,SAE,TE42120   ,BOLSA 100g EUROTE ROOIBOS CHAI                                                                      ,1.0,15.0
316,WEB,TE42120   ,BOLSA 100g EUROTE ROOIBOS CHAI                                                                      ,1.0,15.0
316,SAE,TE42121   ,BOLSA 100g EUROTE ROOIBOS CHOCO PRALINE                                                             ,1.0,15.0
316,SAE,TE42126   ,BOLSA 100g EUROTE SENCHA                                                                            ,5.0,20.0
316,SAE,TE42128   ,BOLSA 100g EUROTE SENCHA GRANADA FRAMBUE                                                            ,1.0,10.0
316,SAE,TE42130   ,BOLSA 100g EUROTE SENCHA PERA                                                                       ,2.0,2.0
316,SAE,TE42133   ,BOLSA 100g EUROTE TANGO MANGO                                                                       ,3.0,30.0
316,WEB,TE42133   ,BOLSA 100g EUROTE TANGO MANGO                                                                       ,1.0,30.0
316,SAE,TE42135   ,BOLSA 100g EUROTE TEALLENNIUM                                                                       ,3.0,25.0
316,SAE,TE42136   ,BOLSA 100g EUROTE TEMPLE OF HEAVEN                                                                  ,3.0,15.0
316,SAE,TE42138   ,BOLSA 100g EUROTE TURQUIA                                                                           ,1.0,20.0
316,SAE,TE42142   ,BOLSA 100g EUROTE VERDE CHAI                                                                        ,2.0,25.0
316,SAE,TE42143   ,BOLSA 100g EUROTE VERDE CHAMPAGNE                                                                   ,4.0,20.0
316,WEB,TE42143   ,BOLSA 100g EUROTE VERDE CHAMPAGNE                                                                   ,1.0,20.0
316,SAE,TE42148   ,BOLSA 100g EUROTE VERDE VIOLETA                                                                     ,2.0,6.0
316,SAE,TE42155   ,BOLSA 100g EUROTE  JAZMINE  LOVERS                                                                  ,1.0,2.0
316,SAE,TE42156   ,BOLSA 100g EUROTE JASMINE LILY                                                                      ,1.0,1.0
316,SAE,TE42159   ,BOLSA 100g EUROTE SWEETHEART                                                                        ,1.0,1.0
316,SAE,TE42160   ,BOLSA 100g EUROTE XU RI DONG SHENG                                                                  ,1.0,1.0
316,WEB,TE42161   ,BOLSA 100g EUROTE DRAGON BALL                                                                       ,1.0,0.0
316,SAE,TE42218   ,BOLSA 100g EUROTE BLUE BUTTERFLY                                                                    ,2.0,0.0
316,WEB,TE42219   ,BOLSA 100g EUROTE MENTA FRESH                                                                       ,1.0,0.0
316,SAE,TE42222   ,BOLSA 100g EUROTE JENGIBRE LIMON                                                                    ,4.0,0.0
316,WEB,TE42228   ,BOLSA 100g EUROTE MATCHA CEREMONIAL                                                                 ,1.0,0.0
316,SAE,TE42233   ,BOLSA 100g EUROTE BLUE MATCHA                                                                       ,6.0,0.0
316,SAE,TE42325   ,BOLSA 100g EUROTE MOON M SUNSET                                                                     ,3.0,0.0
316,SAE,TE42327   ,BOLSA 100g EUROTE MOON M GOLDEN NIGHT                                                               ,2.0,0.0
316,SAE,TE42328   ,BOLSA 100g EUROTE MOON M MIL Y UNA NOCHE                                                            ,5.0,0.0
316,SAE,TE42349   ,BOLSA 100G EUROTE CARBON ACTIVADO                                                                   ,6.0,0.0
316,WEB,TE42362   ,BOLSA 100g EUROTE ALICE GARDEN                                                                      ,1.0,0.0
316,SAE,TE42363   ,BOLSA 100g EUROTE TROPICAL YLANG YLANG                                                              ,3.0,0.0
316,SAE,TE43001   ,BOLSA 250g EUROTE AMARETTO                                                                          ,5.0,12.0
316,SAE,TE43003   ,BOLSA 250g EUROTE ASSAM                                                                             ,2.0,12.0
316,SAE,TE43007   ,BOLSA 250g EUROTE BLANCO COCO THAI                                                                  ,2.0,5.0
316,SAE,TE43008   ,BOLSA 250g EUROTE BLANCO DURAZNO ORQUIDE                                                            ,17.0,1.0
316,SAE,TE43014   ,BOLSA 250g EUROTE BLUE EYES                                                                         ,5.0,22.0
316,SAE,TE43015   ,BOLSA 250g EUROTE BORA BORA                                                                         ,16.0,25.0
316,SAE,TE43018   ,BOLSA 250g EUROTE CERO ESTRESS                                                                      ,3.0,4.0
316,SAE,TE43020   ,BOLSA 250g EUROTE CHABACANO                                                                         ,2.0,50.0
316,SAE,TE43021   ,BOLSA 250g EUROTE CHAI HERBAL                                                                       ,1.0,12.0
316,SAE,TE43023   ,BOLSA 250g EUROTE CHERRY FESTIVAL                                                                   ,26.0,20.0
316,SAE,TE43031   ,BOLSA 250g EUROTE DATIL CITRUS                                                                      ,1.0,5.0
316,SAE,TE43035   ,BOLSA 250g EUROTE DURAZNO                                                                           ,2.0,15.0
316,SAE,TE43036   ,BOLSA 250g EUROTE DRAGON BLEND                                                                      ,1.0,15.0
316,SAE,TE43037   ,BOLSA 250g EUROTE EARL GREY                                                                         ,9.0,12.0
316,SAE,TE43040   ,BOLSA 250g EUROTE FANTASIA TROPICAL                                                                 ,10.0,55.0
316,WEB,TE43040   ,BOLSA 250g EUROTE FANTASIA TROPICAL                                                                 ,1.0,55.0
316,SAE,TE43041   ,BOLSA 250g EUROTE FIREPLACE                                                                         ,6.0,25.0
316,SAE,TE43042   ,BOLSA 250g EUROTE FIT & FUN                                                                         ,8.0,15.0
316,SAE,TE43044   ,BOLSA 250g EUROTE FRESA KIWI                                                                        ,105.0,55.0
316,WEB,TE43044   ,BOLSA 250g EUROTE FRESA KIWI                                                                        ,1.0,55.0
316,SAE,TE43045   ,BOLSA 250g EUROTE FRUTA CARIBEÑA                                                                    ,35.0,30.0
316,SAE,TE43046   ,BOLSA 250g EUROTE FRUTA DE LA PASION                                                                ,2.0,6.0
316,SAE,TE43049   ,BOLSA 250g EUROTE GOJI BERRY                                                                        ,4.0,15.0
316,SAE,TE43061   ,BOLSA 250g EUROTE HONEY BEE                                                                         ,10.0,6.0
316,SAE,TE43066   ,BOLSA 250g EUROTE JAPAN GARDEN                                                                      ,1.0,6.0
316,SAE,TE43067   ,BOLSA 250g EUROTE JAZMIN                                                                            ,14.0,20.0
316,SAE,TE43070   ,BOLSA 250g EUROTE JENGIBRE MANDARIN                                                                 ,59.0,12.0
316,WEB,TE43070   ,BOLSA 250g EUROTE JENGIBRE MANDARIN                                                                 ,1.0,12.0
316,SAE,TE43072   ,BOLSA 250g EUROTE LONG JING                                                                         ,1.0,0.0
316,SAE,TE43074   ,BOLSA 250g EUROTE MANILA                                                                            ,8.0,5.0
316,WEB,TE43074   ,BOLSA 250g EUROTE MANILA                                                                            ,1.0,5.0
316,SAE,TE43076   ,BOLSA 250g EUROTE MANZANA ARANDANO                                                                  ,30.0,40.0
316,WEB,TE43076   ,BOLSA 250g EUROTE MANZANA ARANDANO                                                                  ,1.0,40.0
316,SAE,TE43077   ,BOLSA 250g EUROTE MANZANILLA / LAVANDA                                                              ,18.0,10.0
316,WEB,TE43077   ,BOLSA 250g EUROTE MANZANILLA / LAVANDA                                                              ,1.0,10.0
316,SAE,TE43078   ,BOLSA 250g EUROTE MARACUYA                                                                          ,20.0,40.0
316,SAE,TE43079   ,BOLSA 250g EUROTE MATCHA                                                                            ,9.0,12.0
316,WEB,TE43079   ,BOLSA 250g EUROTE MATCHA                                                                            ,1.0,12.0
316,SAE,TE43081   ,BOLSA 250g EUROTE MEDITACION                                                                        ,3.0,4.0
316,SAE,TE43082   ,BOLSA 250g EUROTE MENTA                                                                             ,29.0,30.0
316,SAE,TE43084   ,BOLSA 250g EUROTE MORAS DE LA SELVA                                                                 ,140.0,85.0
316,WEB,TE43084   ,BOLSA 250g EUROTE MORAS DE LA SELVA                                                                 ,1.0,85.0
316,SAE,TE43085   ,BOLSA 250g EUROTE MOSCU                                                                             ,1.0,20.0
316,SAE,TE43086   ,BOLSA 250g EUROTE MUMBAI                                                                            ,8.0,15.0
316,SAE,TE43087   ,BOLSA 250g EUROTE OMAS GARDEN                                                                       ,2.0,30.0
316,SAE,TE43089   ,BOLSA 250g EUROTE ORIENTAL SPICE                                                                    ,22.0,25.0
316,SAE,TE43093   ,BOLSA 250g EUROTE PAPANTLA                                                                          ,6.0,15.0
316,SAE,TE43094   ,BOLSA 250g EUROTE PARIS                                                                             ,2.0,15.0
316,SAE,TE43095   ,BOLSA 250g EUROTE PONCHE DE GUAYABA                                                                 ,59.0,45.0
316,SAE,TE43098   ,BOLSA 250g EUROTE PASSION ORANGE                                                                    ,2.0,15.0
316,SAE,TE43101   ,BOLSA 250g EUROTE PU ERH CITRUS                                                                     ,2.0,6.0
316,SAE,TE43104   ,BOLSA 250g EUROTE PU ERH FRUTOS ROJOS                                                               ,4.0,15.0
316,SAE,TE43107   ,BOLSA 250g EUROTE PU ERH MENTA                                                                      ,2.0,15.0
316,SAE,TE43114   ,BOLSA 250g EUROTE RELAX                                                                             ,11.0,30.0
316,WEB,TE43114   ,BOLSA 250g EUROTE RELAX                                                                             ,1.0,30.0
316,SAE,TE43125   ,BOLSA 250g EUROTE ROOIBOS TIRAMISU                                                                  ,3.0,1.0
316,SAE,TE43128   ,BOLSA 250g EUROTE SENCHA GRANADA FRAMBUE                                                            ,5.0,6.0
316,SAE,TE43129   ,BOLSA 250g EUROTE SENCHA LIMON                                                                      ,2.0,20.0
316,SAE,TE43133   ,BOLSA 250g EUROTE TANGO MANGO                                                                       ,7.0,25.0
316,SAE,TE43137   ,BOLSA 250g EUROTE TENTACION DIVINA                                                                  ,5.0,20.0
316,SAE,TE43138   ,BOLSA 250g EUROTE TURQUIA                                                                           ,6.0,15.0
316,SAE,TE43143   ,BOLSA 250g EUROTE VERDE CHAMPAGNE                                                                   ,5.0,15.0
316,WEB,TE43143   ,BOLSA 250g EUROTE VERDE CHAMPAGNE                                                                   ,1.0,15.0
316,SAE,TE43145   ,BOLSA 250g EUROTE VERDE PIÑA BLUEBERRY                                                              ,2.0,20.0
316,SAE,TE43146   ,BOLSA 250g EUROTE VERDE CARIBE                                                                      ,1.0,4.0
316,SAE,TE43151   ,BOLSA 250g EUROTE ZURICH                                                                            ,3.0,20.0
316,SAE,TE43161   ,BOLSA 250g EUROTE DRAGON BALL                                                                       ,1.0,0.0
316,SAE,TE43216   ,BOLSA 250g EUROTE BLUE VELVET                                                                       ,2.0,0.0
316,SAE,TE43218   ,BOLSA 250g EUROTE BLUE BUTTERFLY                                                                    ,1.0,0.0
316,SAE,TE43220   ,BOLSA 250g EUROTE DETOX GREEN                                                                       ,1.0,0.0
316,SAE,TE43222   ,BOLSA 250g EUROTE JENGIBRE LIMON                                                                    ,7.0,0.0
316,SAE,TE43227   ,BOLSA 250g EUROTE HANAMI                                                                            ,2.0,0.0
316,WEB,TE43324   ,BOLSA 250g EUROTE MOON M BLUE PILLOW                                                                ,1.0,0.0
316,SAE,TE43327   ,BOLSA 250g EUROTE MOON M GOLDEN NIGHT                                                               ,3.0,0.0
316,SAE,TE43328   ,BOLSA 250g EUROTE MOON M MIL Y UNA NOCHE                                                            ,5.0,0.0
316,SAE,TE43351   ,BOLSA 250g EUROTE PINK CHAI                                                                         ,3.0,0.0
316,SAE,TE43357   ,BOLSA 250g EUROTE SENCHA FEST                                                                       ,4.0,0.0
316,SAE,TE43359   ,BOLSA 250g EUROTE QUIET NIGHT                                                                       ,1.0,0.0
316,SAE,TE44001   ,BOLSA 500g EUROTE AMARETTO                                                                          ,2.0,1.0
316,SAE,TE44003   ,BOLSA 500g EUROTE ASSAM                                                                             ,4.0,1.0
316,SAE,TE44007   ,BOLSA 500g EUROTE BLANCO COCO THAI                                                                  ,1.0,2.0
