,folio,Documento,Cliente,Clave,Cantidad,SKUVARI,Precio,Fecha,Almacen
98,2,VTAWEB #44779,WEB,44779,1.0,TE41039,93.0,2024-11-30, 1
99,2,VTAWEB #44797,WEB,44797,1.0,TE41044,118.0,2024-11-30, 1
100,2,VTAWEB #44307,WEB,44307,1.0,TE41048,109.0,2024-11-30, 1
101,2,VTAWEB #44788,WEB,44788,1.0,TE41061,106.0,2024-11-30, 1
102,2,VTAWEB #44814,WEB,44814,1.0,TE41065,70.0,2024-11-30, 1
103,2,VTAWEB #44799,WEB,44799,1.0,TE41069,237.0,2024-11-30, 1
104,2,VTAWEB #44814,WEB,44814,1.0,TE41070,118.0,2024-11-30, 1
105,2,VTAWEB #44797,WEB,44797,1.0,TE41070,118.0,2024-11-30, 1
106,2,VTAWEB #44824,WEB,44824,3.0,TE41079,232.0,2024-11-30, 1
107,2,VTAWEB #44814,WEB,44814,1.0,TE41079,232.0,2024-11-30, 1
108,2,VTAWEB #44793,WEB,44793,1.0,TE41079,232.0,2024-11-30, 1
109,2,VTAWEB #44307,WEB,44307,1.0,TE41083,205.0,2024-11-30, 1
110,2,VTAWEB #44798,WEB,44798,1.0,TE41084,118.0,2024-11-30, 1
111,2,VTAWEB #44277,WEB,44277,1.0,TE41095,107.0,2024-11-30, 1
112,2,VTAWEB #44820,WEB,44820,1.0,TE41125,138.0,2024-11-30, 1
113,2,VTAWEB #44793,WEB,44793,1.0,TE41128,106.0,2024-11-30, 1
114,2,VTAWEB #44784,WEB,44784,1.0,TE41131,107.0,2024-11-30, 1
115,2,VTAWEB #44277,WEB,44277,1.0,TE41131,107.0,2024-11-30, 1
116,2,VTAWEB #44790,WEB,44790,2.0,TE41136,86.0,2024-11-30, 1
117,2,VTAWEB #44820,WEB,44820,1.0,TE41151,123.0,2024-11-30, 1
118,2,VTAWEB #44784,WEB,44784,1.0,TE41211,80.0,2024-11-30, 1
119,2,VTAWEB #44769,WEB,44769,1.0,TE41211,80.0,2024-11-30, 1
120,2,VTAWEB #44277,WEB,44277,1.0,TE41211,80.0,2024-11-30, 1
121,2,VTAWEB #44790,WEB,44790,1.0,TE41216,91.0,2024-11-30, 1
122,2,VTAWEB #44811,WEB,44811,1.0,TE41216,91.0,2024-11-30, 1
123,2,VTAWEB #44784,WEB,44784,1.0,TE41218,109.0,2024-11-30, 1
124,2,VTAWEB #44788,WEB,44788,1.0,TE41218,109.0,2024-11-30, 1
125,2,VTAWEB #44307,WEB,44307,1.0,TE41218,109.0,2024-11-30, 1
126,2,VTAWEB #44277,WEB,44277,1.0,TE41233,278.0,2024-11-30, 1
127,2,VTAWEB #44778,WEB,44778,1.0,TE41324,114.0,2024-11-30, 1
128,2,VTAWEB #44277,WEB,44277,1.0,TE41324,114.0,2024-11-30, 1
129,2,VTAWEB #44476,WEB,44476,1.0,TE41327,118.0,2024-11-30, 1
130,2,VTAWEB #44814,WEB,44814,1.0,TE41329,101.0,2024-11-30, 1
131,2,VTAWEB #44784,WEB,44784,1.0,TE41329,101.0,2024-11-30, 1
132,2,VTAWEB #44307,WEB,44307,1.0,TE41359,104.0,2024-11-30, 1
133,2,VTAWEB #44802,WEB,44802,1.0,TE42001,149.0,2024-11-30, 1
134,2,VTAWEB #44799,WEB,44799,1.0,TE42002,123.0,2024-11-30, 1
135,2,VTAWEB #44806,WEB,44806,2.0,TE42002,123.0,2024-11-30, 1
136,2,VTAWEB #44781,WEB,44781,1.0,TE42003,123.0,2024-11-30, 1
137,2,VTAWEB #44817,WEB,44817,2.0,TE42003,123.0,2024-11-30, 1
138,2,VTAWEB #44822,WEB,44822,1.0,TE42004,149.0,2024-11-30, 1
139,2,VTAWEB #44771,WEB,44771,2.0,TE42008,232.0,2024-11-30, 1
140,2,VTAWEB #44799,WEB,44799,1.0,TE42008,232.0,2024-11-30, 1
141,2,VTAWEB #44782,WEB,44782,1.0,TE42010,242.0,2024-11-30, 1
142,2,VTAWEB #44786,WEB,44786,1.0,TE42010,242.0,2024-11-30, 1
143,2,VTAWEB #44816,WEB,44816,1.0,TE42014,139.0,2024-11-30, 1
144,2,VTAWEB #44815,WEB,44815,1.0,TE42014,139.0,2024-11-30, 1
145,2,VTAWEB #44789,WEB,44789,1.0,TE42014,139.0,2024-11-30, 1
146,2,VTAWEB #44527,WEB,44527,1.0,TE42014,139.0,2024-11-30, 1
147,2,VTAWEB #44777,WEB,44777,1.0,TE42014,139.0,2024-11-30, 1
148,2,VTAWEB #44795,WEB,44795,1.0,TE42018,198.0,2024-11-30, 1
149,2,VTAWEB #44780,WEB,44780,1.0,TE42018,198.0,2024-11-30, 1
150,2,VTAWEB #44822,WEB,44822,1.0,TE42022,149.0,2024-11-30, 1
151,2,VTAWEB #44527,WEB,44527,1.0,TE42023,182.0,2024-11-30, 1
152,2,VTAWEB #44822,WEB,44822,1.0,TE42027,139.0,2024-11-30, 1
153,2,VTAWEB #44817,WEB,44817,1.0,TE42029,198.0,2024-11-30, 1
154,2,VTAWEB #44786,WEB,44786,1.0,TE42031,157.0,2024-11-30, 1
155,2,VTAWEB #44772,WEB,44772,1.0,TE42031,157.0,2024-11-30, 1
156,2,VTAWEB #44815,WEB,44815,1.0,TE42036,174.0,2024-11-30, 1
157,2,VTAWEB #44825,WEB,44825,1.0,TE42037,174.0,2024-11-30, 1
158,2,VTAWEB #44779,WEB,44779,1.0,TE42037,174.0,2024-11-30, 1
159,2,VTAWEB #44771,WEB,44771,1.0,TE42037,174.0,2024-11-30, 1
160,2,VTAWEB #44793,WEB,44793,1.0,TE42038,123.0,2024-11-30, 1
161,2,VTAWEB #44817,WEB,44817,1.0,TE42038,123.0,2024-11-30, 1
162,2,VTAWEB #44785,WEB,44785,2.0,TE42038,123.0,2024-11-30, 1
163,2,VTAWEB #44806,WEB,44806,1.0,TE42040,149.0,2024-11-30, 1
164,2,VTAWEB #44773,WEB,44773,1.0,TE42040,149.0,2024-11-30, 1
165,2,VTAWEB #44806,WEB,44806,1.0,TE42041,139.0,2024-11-30, 1
166,2,VTAWEB #44786,WEB,44786,1.0,TE42042,174.0,2024-11-30, 1
167,2,VTAWEB #44659,WEB,44659,1.0,TE42044,139.0,2024-11-30, 1
168,2,VTAWEB #44802,WEB,44802,1.0,TE42044,139.0,2024-11-30, 1
